"","Av.zone","Num.datasets","Bid.ratio","mean_total_cost","mean_instance_cost","mean_storage_cost","mean_xfer_cost","mean_total_time","mean_run_time","mean_wait_time","mean_upl_time","mean_dl_time","mean_interrupts","Region"
"50","ap-northeast-1a",2000,3,1294.53708767123,206.984,429.938630136986,644,32925.837037037,1211.14166666667,655.8,834.37037037037,31402.6666666667,7,"Asia Pacific"
"51","ap-northeast-1a",2000,3.5,1299.42,207.863,429.938630136986,644,32920.787037037,1224.91666666667,650.75,834.37037037037,31402.6666666667,9,"Asia Pacific"
"52","ap-northeast-1a",2000,4,1299.42,207.863,429.938630136986,644,32920.787037037,1224.91666666667,650.75,834.37037037037,31402.6666666667,9,"Asia Pacific"
"53","ap-northeast-1a",2000,4.5,1534.16961643836,465.728,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"54","ap-northeast-1a",2000,5,1534.12161643836,465.708,421.071780821918,644,32270.037037037,1122,0,834.37037037037,31402.6666666667,0,"Asia Pacific"
"55","ap-northeast-1a",5000,1,4707.42136986301,413.336,2680.7498630137,1610,82729.6759259259,2900.65,2104.08333333333,2085.92592592593,78506.6666666667,16,"Asia Pacific"
"56","ap-northeast-1a",10000,1,14719.0984931507,808.4381,10674.7347945205,3220,165057.593518518,5749.30833333333,3839.40833333333,4171.85185185185,157013.333333333,29,"Asia Pacific"
"57","ap-northeast-1c",50,1,23.6978830136986,7.1611,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"58","ap-northeast-1c",50,1.5,23.7121630136986,7.1849,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"59","ap-northeast-1c",50,2,23.7121630136986,7.1849,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"60","ap-northeast-1c",50,2.5,23.7121630136986,7.1849,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"61","ap-northeast-1c",50,3,23.7121630136986,7.1883,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"62","ap-northeast-1c",50,3.5,23.7121630136986,7.1883,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"63","ap-northeast-1c",50,4,23.7121630136986,7.1883,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"64","ap-northeast-1c",50,4.5,23.7121630136986,7.1883,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"65","ap-northeast-1c",50,5,23.7121630136986,7.1883,0.42386301369863,16.1,838.925925925926,33,0,20.8592592592593,785.066666666667,0,"Asia Pacific"
"66","ap-northeast-1c",100,1,49.8444383561644,16.168,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"67","ap-northeast-1c",100,1.5,49.7607945205479,16.056,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"68","ap-northeast-1c",100,2,49.7952876712329,16.14,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"69","ap-northeast-1c",100,2.5,49.7972876712329,16.14,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"70","ap-northeast-1c",100,3,49.6272876712329,15.984,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"71","ap-northeast-1c",100,3.5,49.6452876712329,16.012,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
"72","ap-northeast-1c",100,4,49.6512876712329,16.022,1.41928767123288,32.2,1644.85185185185,66,0,41.7185185185185,1570.13333333333,0,"Asia Pacific"
