,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,time_ratio,cost_ratio,on_demand_price_hr,on_demand_instance_cost,on_demand_total_cost
20,ap-northeast-1a,2.0,200,94.4551058117,0.540503246753,4.67859003084,8270.28368506,160.871255906,260742.498142,33073.6092532,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.873156046718,1.73026440621,2.043,123.1,189.244942009
21,ap-northeast-1a,2.5,200,94.5006709091,0.539448051948,4.68086828571,8269.1375,160.916812998,260742.247899,33073.3590097,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.873156884715,1.72977455177,2.043,123.1,189.244942009
22,ap-northeast-1a,3.0,200,195.49714039,0.120941558442,9.74848445455,7987.47849026,261.648724522,228380.512184,711.623295455,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.996884045455,1.06383017377,2.043,123.1,189.244942009
23,ap-northeast-1a,3.5,200,195.49714039,0.120941558442,9.74848445455,7987.47849026,261.648724522,228380.512184,711.623295455,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.996884045455,1.06383017377,2.043,123.1,189.244942009
24,ap-northeast-1a,4.0,200,195.49714039,0.120941558442,9.74848445455,7987.47849026,261.648724522,228380.512184,711.623295455,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,0.996884045455,1.06383017377,2.043,123.1,189.244942009
25,ap-northeast-1a,4.5,200,212.834437143,0.0,10.6157218571,7920.0,278.979379152,227668.888889,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,1.0,0.997743306054,2.043,123.1,189.244942009
26,ap-northeast-1a,5.0,200,212.834437143,0.0,10.6157218571,7920.0,278.979379152,227668.888889,0.0,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,184000,0.0037,1.06283105023,65.4665310502,36800,64.4,0.678410958904,212.204866067,7920,278.349808076,227668.888889,0,18,4888.88888889,123.106,0,6.1293,7920.0,189.250942009,227668.888889,0.0,1.0,0.997743306054,2.043,123.1,189.244942009
27,ap-northeast-1a,1.0,500,162.65366241,1.12470511673,8.0524966729,18536.2523387,332.11614843,602570.699241,36368.4770194,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.939644464849,1.57510352002,2.043,205.5,374.609204338
28,ap-northeast-1a,1.5,500,162.708412755,1.1233222159,8.05523744407,18536.0767917,332.170830444,602566.536222,36364.3139998,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.939650956676,1.57484422624,2.043,205.5,374.609204338
29,ap-northeast-1a,2.0,500,162.732691613,1.11949890181,8.05645138697,18534.2274465,332.194988953,602565.554362,36363.3321402,20,0.055,c3.8xlarge,3,2.3,2.3,3.52808110111,1980,Linux/UNIX,460000,0.00925,6.64269406393,167.651944064,92000,161.0,1.45726027397,354.008110111,17820,523.117314449,566202.222222,0,18,12222.2222222,205.51,0,10.2155,17820.0,374.619204338,566202.222222,0.0,0.939652487805,1.57472969745,2.043,205.5,374.609204338
