,av_zone,bid_ratio,num_datasets,mean_instance_cost,mean_num_interr,mean_pernode_cost,mean_run_time,mean_total_cost,mean_total_time,mean_wait_time,region_x,down_rate,in_gb,instance_type,jobs_per,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time,median_instance_cost,median_num_interr,median_pernode_cost,median_run_time,median_total_cost,median_total_time,median_wait_time,region
434,eu-central-1a,2.0,50,44.2579553546,2.28198029476,6.14884932253,31214.4596531,46.6119100721,151181.943888,110713.706457,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,26.6207,0,3.7001,24624.0,28.6887807219,33877.7777778,0.0,Europe
435,eu-central-1a,2.5,50,59.1708531984,0.0,8.41869331406,24624.0,61.1860939204,33877.7777778,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,29.7625,0,4.2175,24624.0,31.7777407219,33877.7777778,0.0,Europe
436,eu-central-1a,3.0,50,59.1708531984,0.0,8.41869331406,24624.0,61.1860939204,33877.7777778,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,29.7625,0,4.2175,24624.0,31.7777407219,33877.7777778,0.0,Europe
437,eu-central-1a,3.5,50,59.1708531984,0.0,8.41869331406,24624.0,61.1860939204,33877.7777778,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,29.7625,0,4.2175,24624.0,31.7777407219,33877.7777778,0.0,Europe
438,eu-central-1a,4.0,50,59.1708531984,0.0,8.41869331406,24624.0,61.1860939204,33877.7777778,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,29.7625,0,4.2175,24624.0,31.7777407219,33877.7777778,0.0,Europe
439,eu-central-1a,4.5,50,59.1708531984,0.0,8.41869331406,24624.0,61.1860939204,33877.7777778,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,29.7625,0,4.2175,24624.0,31.7777407219,33877.7777778,0.0,Europe
440,eu-central-1a,5.0,50,59.1708531984,0.0,8.41869331406,24624.0,61.1860939204,33877.7777778,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,7580.0,0.001075,0.00177091643836,1.70834591644,1516.0,1.7055,0.306894805479,59.2448733419,24624.0,61.2601140638,33877.7777778,0,18,157.777777778,29.7625,0,4.2175,24624.0,31.7777407219,33877.7777778,0.0,Europe
441,eu-central-1a,1.0,100,81.2827060294,8.70705834353,6.10630795838,46958.3865361,86.277519286,241892.267266,176426.325173,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,41.3244,0,3.0786,24624.0,45.4093130521,44576.5555556,140.0,Europe
442,eu-central-1a,1.5,100,81.4254823747,8.30659492949,6.12741064074,42802.601451,86.2933197935,226193.006848,164882.849841,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,41.8944,0,3.1444,24624.0,46.1984139781,43131.5555556,0.0,Europe
443,eu-central-1a,2.0,100,81.154649531,2.28198029476,6.14884932253,31214.4596531,85.6056689165,160435.721666,110713.706457,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,48.8813,0,3.7001,24624.0,53.0023485288,43131.5555556,0.0,Europe
444,eu-central-1a,2.5,100,109.683013083,0.0,8.41869331406,24624.0,113.639726135,43131.5555556,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,55.0675,0,4.2175,24624.0,59.0242130521,43131.5555556,0.0,Europe
445,eu-central-1a,3.0,100,109.683013083,0.0,8.41869331406,24624.0,113.639726135,43131.5555556,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,55.0675,0,4.2175,24624.0,59.0242130521,43131.5555556,0.0,Europe
446,eu-central-1a,3.5,100,109.683013083,0.0,8.41869331406,24624.0,113.639726135,43131.5555556,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,55.0675,0,4.2175,24624.0,59.0242130521,43131.5555556,0.0,Europe
447,eu-central-1a,4.0,100,109.683013083,0.0,8.41869331406,24624.0,113.639726135,43131.5555556,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,55.0675,0,4.2175,24624.0,59.0242130521,43131.5555556,0.0,Europe
448,eu-central-1a,4.5,100,109.683013083,0.0,8.41869331406,24624.0,113.639726135,43131.5555556,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,55.0675,0,4.2175,24624.0,59.0242130521,43131.5555556,0.0,Europe
449,eu-central-1a,5.0,100,109.683013083,0.0,8.41869331406,24624.0,113.639726135,43131.5555556,0.0,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,15160.0,0.00215,0.00708366575342,3.42023366575,3032.0,3.411,0.536479386301,109.820479064,24624.0,113.777192116,43131.5555556,0,18,315.555555556,55.0675,0,4.2175,24624.0,59.0242130521,43131.5555556,0.0,Europe
450,eu-central-1a,1.0,200,208.148975184,10.0821481118,10.2901649191,80050.5656368,218.394248915,309452.448711,197237.971963,Europe,20,0.0071,c3.8xlarge,8,0.379,0.379,1.20418108861,24624.0,Linux/UNIX,30320.0,0.0043,0.0283346630137,6.85463466301,6064.0,6.822,1.59442068493,337.620704811,49248.0,346.069760159,81411.9111111,0,18,631.111111111,137.479,1,6.8491,51928.5,146.29720206,104017.911111,7818.0,Europe
