,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,on_demand_price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,on_demand_instance_cost,static_run_time,on_demand_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
29,ap-southeast-1b,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.117,23940.0,Linux/UNIX,77600.0,0.04,0.171853881279,23.4918538813,15520.0,23.28,17.9147243836,7077.54,598500.0,7118.94657826,683031.911111,0,18,6311.11111111
30,ap-southeast-1b,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.117,23940.0,Linux/UNIX,194000.0,0.1,1.07408675799,59.374086758,38800.0,58.2,46.4321490411,17757.42,1508220.0,17863.2262358,1718308.17778,0,18,15777.7777778
31,ap-southeast-1b,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.117,23940.0,Linux/UNIX,388000.0,0.2,4.29634703196,120.896347032,77600.0,116.4,97.0959715068,35260.52,2992500.0,35478.5123185,3412676.35556,0,18,31555.5555556
32,ap-southeast-2a,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.117,23940.0,Linux/UNIX,1940.0,0.0011,0.000118149543379,0.680218149543,388.0,0.679,0.489500219178,192.927,23940.0,194.096718369,26425.7777778,0,18,157.777777778
33,ap-southeast-2a,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.117,23940.0,Linux/UNIX,3880.0,0.0022,0.000472598173516,1.36067259817,776.0,1.358,1.46935561644,593.32,47880.0,596.150028215,52230.7555556,0,18,315.555555556
34,ap-southeast-2a,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.117,23940.0,Linux/UNIX,7760.0,0.0044,0.00189039269406,2.72229039269,1552.0,2.716,2.10785424658,847.64,71820.0,852.470144639,80521.5111111,0,18,631.111111111
35,ap-southeast-2a,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.117,23940.0,Linux/UNIX,19400.0,0.011,0.0118149543379,6.81281495434,3880.0,6.79,4.96156931507,1991.9,167580.0,2003.67438427,188712.977778,0,18,1577.77777778
36,ap-southeast-2a,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.117,23940.0,Linux/UNIX,38800.0,0.022,0.0472598173516,13.6492598174,7760.0,13.58,9.22975561644,3687.1,311220.0,3709.97901543,353485.955556,0,18,3155.55555556
37,ap-southeast-2a,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.117,23940.0,Linux/UNIX,77600.0,0.044,0.189039269406,27.3930392694,15520.0,27.16,17.9147243836,7077.54,598500.0,7122.84776365,683031.911111,0,18,6311.11111111
38,ap-southeast-2a,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.117,23940.0,Linux/UNIX,194000.0,0.11,1.18149543379,69.1914954338,38800.0,67.9,46.4321490411,17757.42,1508220.0,17873.0436445,1718308.17778,0,18,15777.7777778
39,ap-southeast-2a,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.117,23940.0,Linux/UNIX,388000.0,0.22,4.72598173516,140.745981735,77600.0,135.8,97.0959715068,35260.52,2992500.0,35498.3619532,3412676.35556,0,18,31555.5555556
40,ap-southeast-2b,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.117,23940.0,Linux/UNIX,1940.0,0.0011,0.000118149543379,0.680218149543,388.0,0.679,0.489500219178,192.927,23940.0,194.096718369,26425.7777778,0,18,157.777777778
41,ap-southeast-2b,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.117,23940.0,Linux/UNIX,3880.0,0.0022,0.000472598173516,1.36067259817,776.0,1.358,1.46935561644,593.32,47880.0,596.150028215,52230.7555556,0,18,315.555555556
42,ap-southeast-2b,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.117,23940.0,Linux/UNIX,7760.0,0.0044,0.00189039269406,2.72229039269,1552.0,2.716,2.10785424658,847.64,71820.0,852.470144639,80521.5111111,0,18,631.111111111
43,ap-southeast-2b,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.117,23940.0,Linux/UNIX,19400.0,0.011,0.0118149543379,6.81281495434,3880.0,6.79,4.96156931507,1991.9,167580.0,2003.67438427,188712.977778,0,18,1577.77777778
44,ap-southeast-2b,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.117,23940.0,Linux/UNIX,38800.0,0.022,0.0472598173516,13.6492598174,7760.0,13.58,9.22975561644,3687.1,311220.0,3709.97901543,353485.955556,0,18,3155.55555556
45,ap-southeast-2b,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.117,23940.0,Linux/UNIX,77600.0,0.044,0.189039269406,27.3930392694,15520.0,27.16,17.9147243836,7077.54,598500.0,7122.84776365,683031.911111,0,18,6311.11111111
46,ap-southeast-2b,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.117,23940.0,Linux/UNIX,194000.0,0.11,1.18149543379,69.1914954338,38800.0,67.9,46.4321490411,17757.42,1508220.0,17873.0436445,1718308.17778,0,18,15777.7777778
47,ap-southeast-2b,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.117,23940.0,Linux/UNIX,388000.0,0.22,4.72598173516,140.745981735,77600.0,135.8,97.0959715068,35260.52,2992500.0,35498.3619532,3412676.35556,0,18,31555.5555556
48,eu-central-1a,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.064,23940.0,Linux/UNIX,1940.0,0.001075,0.000116001369863,0.43769100137,388.0,0.4365,0.485421050685,188.034,23940.0,188.957112052,26425.7777778,0,18,157.777777778
49,eu-central-1a,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.064,23940.0,Linux/UNIX,3880.0,0.00215,0.000464005479452,0.875614005479,776.0,0.873,1.4571109863,578.34,47880.0,580.672724992,52230.7555556,0,18,315.555555556
50,eu-central-1a,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.064,23940.0,Linux/UNIX,7760.0,0.0043,0.00185602191781,1.75215602192,1552.0,1.746,2.09028879452,826.23,71820.0,830.072444816,80521.5111111,0,18,631.111111111
51,eu-central-1a,20,0.0071,c3.8xlarge,4,500,0.097,0.097,2.064,23940.0,Linux/UNIX,19400.0,0.01075,0.0116001369863,4.38735013699,3880.0,4.365,4.92022290411,1941.6,167580.0,1950.90757304,188712.977778,0,18,1577.77777778
52,eu-central-1a,20,0.0071,c3.8xlarge,4,1000,0.097,0.097,2.064,23940.0,Linux/UNIX,38800.0,0.0215,0.0464005479452,8.79790054795,7760.0,8.73,9.1528409863,3594.0,311220.0,3611.95074153,353485.955556,0,18,3155.55555556
53,eu-central-1a,20,0.0071,c3.8xlarge,4,2000,0.097,0.097,2.064,23940.0,Linux/UNIX,77600.0,0.043,0.185602191781,17.6886021918,15520.0,17.46,17.7654350137,6898.83,598500.0,6934.28403721,683031.911111,0,18,6311.11111111
54,eu-central-1a,20,0.0071,c3.8xlarge,4,5000,0.097,0.097,2.064,23940.0,Linux/UNIX,194000.0,0.1075,1.16001369863,44.9175136986,38800.0,43.65,46.0452144658,17309.04,1508220.0,17400.0027282,1718308.17778,0,18,15777.7777778
55,eu-central-1a,20,0.0071,c3.8xlarge,4,10000,0.097,0.097,2.064,23940.0,Linux/UNIX,388000.0,0.215,4.64005479452,92.1550547945,77600.0,87.3,96.286838411,34370.19,2992500.0,34558.6318932,3412676.35556,0,18,31555.5555556
56,eu-central-1b,20,0.0071,c3.8xlarge,4,50,0.097,0.097,2.064,23940.0,Linux/UNIX,1940.0,0.001075,0.000116001369863,0.43769100137,388.0,0.4365,0.485421050685,188.034,23940.0,188.957112052,26425.7777778,0,18,157.777777778
57,eu-central-1b,20,0.0071,c3.8xlarge,4,100,0.097,0.097,2.064,23940.0,Linux/UNIX,3880.0,0.00215,0.000464005479452,0.875614005479,776.0,0.873,1.4571109863,578.34,47880.0,580.672724992,52230.7555556,0,18,315.555555556
58,eu-central-1b,20,0.0071,c3.8xlarge,4,200,0.097,0.097,2.064,23940.0,Linux/UNIX,7760.0,0.0043,0.00185602191781,1.75215602192,1552.0,1.746,2.09028879452,826.23,71820.0,830.072444816,80521.5111111,0,18,631.111111111
