,av_zone,down_rate,in_gb,instance_type,jobs_per,num_datasets,out_gb,out_gb_dl,price_hr,proc_time,product,s3_dl_time,s3_req_cost,s3_storage_cost,s3_total_cost,s3_upl_time,s3_xfer_cost,static_ebs_storage_cost,static_instance_cost,static_run_time,static_total_cost,static_total_time,static_wait_time,up_rate,xfer_up_time
59,eu-central-1b,20,0.055,c3.8xlarge,3,500,2.3,2.3,2.064,1980.0,Linux/UNIX,460000.0,0.01075,6.52191780822,110.032667808,92000.0,103.5,1.44511643836,207.3,17820.0,318.777784247,566202.222222,0,18,12222.2222222
60,eu-central-1b,20,0.055,c3.8xlarge,3,1000,2.3,2.3,2.064,1980.0,Linux/UNIX,920000.0,0.0215,26.0876712329,233.109171233,184000.0,207.0,3.12285342466,414.57,33660.0,650.802024658,1130424.44444,0,18,24444.4444444
61,eu-central-1b,20,0.055,c3.8xlarge,3,2000,2.3,2.3,2.064,1980.0,Linux/UNIX,1840000.0,0.043,104.350684932,518.393684932,368000.0,414.0,7.16053972603,787.83,67320.0,1313.38422466,2258868.88889,0,18,48888.8888889
62,eu-central-1b,20,0.055,c3.8xlarge,3,5000,2.3,2.3,2.064,1980.0,Linux/UNIX,4600000.0,0.1075,652.191780822,1687.29928082,920000.0,1035.0,25.6115712329,1948.89,166320.0,3661.80085205,5644202.22222,0,18,122222.222222
63,eu-central-1b,20,0.055,c3.8xlarge,3,10000,2.3,2.3,2.064,1980.0,Linux/UNIX,9200000.0,0.215,2608.76712329,4678.98212329,1840000.0,2070.0,76.8837808219,3815.16,330660.0,8571.02590411,11286424.4444,0,18,244444.444444
64,eu-west-1a,20,0.055,c3.8xlarge,3,50,2.3,2.3,1.912,1980.0,Linux/UNIX,46000.0,0.001,0.0603881278539,10.4113881279,9200.0,10.35,0.167290410959,32.616,1980.0,43.1946785388,58402.2222222,0,18,1222.22222222
65,eu-west-1a,20,0.055,c3.8xlarge,3,100,2.3,2.3,1.912,1980.0,Linux/UNIX,92000.0,0.002,0.241552511416,20.9435525114,18400.0,20.7,0.363828767123,76.676,3960.0,97.9833812785,114824.444444,0,18,2444.44444444
66,eu-west-1a,20,0.055,c3.8xlarge,3,200,2.3,2.3,1.912,1980.0,Linux/UNIX,184000.0,0.004,0.966210045662,42.3702100457,36800.0,41.4,0.621876712329,115.084,7920.0,158.076086758,227668.888889,0,18,4888.88888889
67,eu-west-1a,20,0.055,c3.8xlarge,3,500,2.3,2.3,1.912,1980.0,Linux/UNIX,460000.0,0.01,6.03881278539,109.548812785,92000.0,103.5,1.33582191781,192.04,17820.0,302.924634703,566202.222222,0,18,12222.2222222
68,eu-west-1a,20,0.055,c3.8xlarge,3,1000,2.3,2.3,1.912,1980.0,Linux/UNIX,920000.0,0.02,24.1552511416,231.175251142,184000.0,207.0,2.88667123288,384.052,33660.0,618.113922374,1130424.44444,0,18,24444.4444444
69,eu-west-1a,20,0.055,c3.8xlarge,3,2000,2.3,2.3,1.912,1980.0,Linux/UNIX,1840000.0,0.04,96.6210045662,510.661004566,368000.0,414.0,6.61898630137,729.836,67320.0,1247.11599087,2258868.88889,0,18,48888.8888889
70,eu-west-1a,20,0.055,c3.8xlarge,3,5000,2.3,2.3,1.912,1980.0,Linux/UNIX,4600000.0,0.1,603.881278539,1638.98127854,920000.0,1035.0,23.6745616438,1805.428,166320.0,3468.08384018,5644202.22222,0,18,122222.222222
71,eu-west-1a,20,0.055,c3.8xlarge,3,10000,2.3,2.3,1.912,1980.0,Linux/UNIX,9200000.0,0.2,2415.52511416,4485.72511416,1840000.0,2070.0,71.0690410959,3534.32,330660.0,8091.11415525,11286424.4444,0,18,244444.444444
72,eu-west-1b,20,0.055,c3.8xlarge,3,50,2.3,2.3,1.912,1980.0,Linux/UNIX,46000.0,0.001,0.0603881278539,10.4113881279,9200.0,10.35,0.167290410959,32.616,1980.0,43.1946785388,58402.2222222,0,18,1222.22222222
73,eu-west-1b,20,0.055,c3.8xlarge,3,100,2.3,2.3,1.912,1980.0,Linux/UNIX,92000.0,0.002,0.241552511416,20.9435525114,18400.0,20.7,0.363828767123,76.676,3960.0,97.9833812785,114824.444444,0,18,2444.44444444
74,eu-west-1b,20,0.055,c3.8xlarge,3,200,2.3,2.3,1.912,1980.0,Linux/UNIX,184000.0,0.004,0.966210045662,42.3702100457,36800.0,41.4,0.621876712329,115.084,7920.0,158.076086758,227668.888889,0,18,4888.88888889
75,eu-west-1b,20,0.055,c3.8xlarge,3,500,2.3,2.3,1.912,1980.0,Linux/UNIX,460000.0,0.01,6.03881278539,109.548812785,92000.0,103.5,1.33582191781,192.04,17820.0,302.924634703,566202.222222,0,18,12222.2222222
76,eu-west-1b,20,0.055,c3.8xlarge,3,1000,2.3,2.3,1.912,1980.0,Linux/UNIX,920000.0,0.02,24.1552511416,231.175251142,184000.0,207.0,2.88667123288,384.052,33660.0,618.113922374,1130424.44444,0,18,24444.4444444
77,eu-west-1b,20,0.055,c3.8xlarge,3,2000,2.3,2.3,1.912,1980.0,Linux/UNIX,1840000.0,0.04,96.6210045662,510.661004566,368000.0,414.0,6.61898630137,729.836,67320.0,1247.11599087,2258868.88889,0,18,48888.8888889
78,eu-west-1b,20,0.055,c3.8xlarge,3,5000,2.3,2.3,1.912,1980.0,Linux/UNIX,4600000.0,0.1,603.881278539,1638.98127854,920000.0,1035.0,23.6745616438,1805.428,166320.0,3468.08384018,5644202.22222,0,18,122222.222222
79,eu-west-1b,20,0.055,c3.8xlarge,3,10000,2.3,2.3,1.912,1980.0,Linux/UNIX,9200000.0,0.2,2415.52511416,4485.72511416,1840000.0,2070.0,71.0690410959,3534.32,330660.0,8091.11415525,11286424.4444,0,18,244444.444444
80,eu-west-1c,20,0.055,c3.8xlarge,3,50,2.3,2.3,1.912,1980.0,Linux/UNIX,46000.0,0.001,0.0603881278539,10.4113881279,9200.0,10.35,0.167290410959,32.616,1980.0,43.1946785388,58402.2222222,0,18,1222.22222222
81,eu-west-1c,20,0.055,c3.8xlarge,3,100,2.3,2.3,1.912,1980.0,Linux/UNIX,92000.0,0.002,0.241552511416,20.9435525114,18400.0,20.7,0.363828767123,76.676,3960.0,97.9833812785,114824.444444,0,18,2444.44444444
82,eu-west-1c,20,0.055,c3.8xlarge,3,200,2.3,2.3,1.912,1980.0,Linux/UNIX,184000.0,0.004,0.966210045662,42.3702100457,36800.0,41.4,0.621876712329,115.084,7920.0,158.076086758,227668.888889,0,18,4888.88888889
83,eu-west-1c,20,0.055,c3.8xlarge,3,500,2.3,2.3,1.912,1980.0,Linux/UNIX,460000.0,0.01,6.03881278539,109.548812785,92000.0,103.5,1.33582191781,192.04,17820.0,302.924634703,566202.222222,0,18,12222.2222222
84,eu-west-1c,20,0.055,c3.8xlarge,3,1000,2.3,2.3,1.912,1980.0,Linux/UNIX,920000.0,0.02,24.1552511416,231.175251142,184000.0,207.0,2.88667123288,384.052,33660.0,618.113922374,1130424.44444,0,18,24444.4444444
85,eu-west-1c,20,0.055,c3.8xlarge,3,2000,2.3,2.3,1.912,1980.0,Linux/UNIX,1840000.0,0.04,96.6210045662,510.661004566,368000.0,414.0,6.61898630137,729.836,67320.0,1247.11599087,2258868.88889,0,18,48888.8888889
86,eu-west-1c,20,0.055,c3.8xlarge,3,5000,2.3,2.3,1.912,1980.0,Linux/UNIX,4600000.0,0.1,603.881278539,1638.98127854,920000.0,1035.0,23.6745616438,1805.428,166320.0,3468.08384018,5644202.22222,0,18,122222.222222
87,eu-west-1c,20,0.055,c3.8xlarge,3,10000,2.3,2.3,1.912,1980.0,Linux/UNIX,9200000.0,0.2,2415.52511416,4485.72511416,1840000.0,2070.0,71.0690410959,3534.32,330660.0,8091.11415525,11286424.4444,0,18,244444.444444
88,sa-east-1a,20,0.055,c3.8xlarge,3,50,2.3,2.3,2.6,1980.0,Linux/UNIX,46000.0,0.0014,0.0821278538813,28.8335278539,9200.0,28.75,0.288956164384,44.416,1980.0,73.5384840183,58402.2222222,0,18,1222.22222222
89,sa-east-1a,20,0.055,c3.8xlarge,3,100,2.3,2.3,2.6,1980.0,Linux/UNIX,92000.0,0.0028,0.328511415525,57.8313114155,18400.0,57.5,0.628431506849,104.378,3960.0,162.837742922,114824.444444,0,18,2444.44444444
90,sa-east-1a,20,0.055,c3.8xlarge,3,200,2.3,2.3,2.6,1980.0,Linux/UNIX,184000.0,0.0056,1.3140456621,116.319645662,36800.0,115.0,1.07415068493,156.702,7920.0,274.095796347,227668.888889,0,18,4888.88888889
91,sa-east-1a,20,0.055,c3.8xlarge,3,500,2.3,2.3,2.6,1980.0,Linux/UNIX,460000.0,0.014,8.21278538813,295.726785388,92000.0,287.5,2.30732876712,261.62,17820.0,559.654114155,566202.222222,0,18,12222.2222222
